Name,Region,Tier,Type,Base Item,Location,Armor,Agility,Shielding,Poise,Inure,Steadfast,Ethereal,Reflexes ,Evasion,Tempo ,Adaptability,Melee Prot.,Projectile Prot.,Magic Prot.,Blast Prot.,Fire Prot.,Feather Falling,Max Health,Max Health %,Regen,Life Drain,Sustenance,Anemia,Speed,Speed %,Adrenaline,Crippling,Attack Damage,Attack Damage %,Attack Speed,Attack Speed %,Magic Damage,Magic Damage %,Proj Damage,Proj Speed,Knockback Res.,Thorns,Base Spell Power,Base Attack Damage,Base Attack Speed,Base Proj Damage,Base Proj Speed,Base Throw Rate,Unbreaking,Mending,Unbreakable,Irreparability,Smite,Slayer,Duelist,Fire Aspect,Ice Aspect,Thunder Aspect,Knockback,Sweeping Edge,Decay,Hex Eater,Bleeding,Chaotic,Quake,Looting,Sniper,Point Blank,Flame,Frost,Spark,Punch,Infinity (bow),Quick Charge,Piercing,Multishot,Recoil,Efficiency,Sapper,Eruption,Multitool,Fortune,Silk Touch,Lure,Infinity (tool),Shrapnel,Abyssal,Gills,Respiration,Aqua Affinity,Depth Strider,Riptide,Inferno,Second Wind,Regicide,Aptitude,Retrieval,Intuition,Radiant,Darksight,Weightless,Triage,Soul Speed,Void Tether,Resurrection,Ineptitude,Vanishing,Two Handed,Corruption,Arcane Thrust,Rage of the Keter,Protection of the Depths,Persistent,Ashes of Eternity,Tier,Location,Health,Speed,Attack Damage,Attack Speed,Magic Damage,Tier,Location
Ardent Convergence,Isles,Epic,Wand,Blaze Rod,Isles Delves,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,70%,5,4,,,,,,1,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,13,43,,,,,,13,43
Aurora Mirror (mainhand),Isles,Epic,Mainhand,Shield,Isles Delves,3.5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,43,,,,,,13,43
Aurora Mirror (offhand),Isles,Epic,Offhand Shield,Shield,Isles Delves,4.5,,,,,,,,,,,,,3,,,,,10%,,,,,,,,,,,0.1,,,,,,,,,,,,,,3,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,43,12.5,,,8%,,13,43
Chains of Entropy,Isles,Epic,Boots,Chainmail Boots,Isles Delves,10,,,,,,,,,,,,3,3,3,3,,-4,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,43,-20,,,,,13,43
Firmament,Isles,Epic,Misc,Cyan Shulker Box,Isles Delves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,43,,,,,,13,43
Fleshbreaker,Isles,Epic,Axe,Iron Axe,Isles Delves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,0.9,,,,,,1,,,3,3,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,43,,,,,,13,43
Fruit of Life,Isles,Epic,Consumable,Chorus Fruit,Isles Delves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,13,43,,,,,,13,43
Salazar's Greed,Isles,Epic,Leggings,Golden Leggings,Isles Delves,,6,,,,,,,,,,,,,,,,,,,,,,,10%,,,1,25%,,10%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,43,,10%,32%,10%,,13,43
Soul of Ishnir,Isles,Epic,Scythe,Golden Hoe,Isles Delves,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,10,1.5,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,43,,,,,,13,43
Sword of the Exiled,Isles,Epic,Sword,Diamond Sword,Isles Delves,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,,,,,,,,,,,,12.5,1.8,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,13,43,,18%,,,,13,43
Ire of the Gods,Isles,Epic,Crossbow,Crossbow,Hekawt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,42,,,,,,13,42
Consumption,Isles,Artifact,Boots,Chainmail Boots,Hekawt,5,,,1,,,,,,,,,,,,,,,,1,1,,,,-5%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,-5%,,,,12,42
Creation,Isles,Artifact,Bow,Bow,Hekawt,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,20,1,,5,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,,,,,12,42
Departure,Isles,Artifact,Chestplate,Leather Chestplate,Hekawt,,9,,,,,,,,,,,,,,,2,,,,,,,,,3,,,10%,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,,10%,,,12,42
Eternity,Isles,Artifact,Leggings,Iron Leggings,Hekawt,9.5,,,,,,,,,,,,,,,4,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,23%,,,,12,42
